A_CLAU_UNICA_VF,A_ID_VF,A_EMPRESA_VF,A_NUM_FACTURA_VF,A_FECHA_FACTURA_VF,A_ORIGEN_VF,A_IMPORTE_VF,A_ACUMULADO_VF,A_CLIENT_VF,A_PAGADA_VF,A_ENVIADA_VF
6368-C-V/00001,1,ADG32 6368 LPIZA SL,FV-1/2025/00001,17/10/2025,C-V/00001,"4679,07","4679,07",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00002,2,ADG32 6368 LPIZA SL,FV-1/2025/00002,23/10/2025,C-V/00002,"3582,81","8261,88",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00003,3,ADG32 6368 LPIZA SL,FV-1/2025/00003,24/10/2025,C-V/00003,"3198,03","11459,91",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00004,4,ADG32 6368 LPIZA SL,FV-1/2025/00004,24/10/2025,C-V/00004,"3198,03","14657,94",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00005,5,ADG32 6368 LPIZA SL,FV-1/2025/00005,29/10/2025,C-V/00005,"3713,49","18371,43",BIGCORP SL,Pagada,No enviado
6368-C-V/00006,6,ADG32 6368 LPIZA SL,FV-1/2025/00006,29/10/2025,C-V/00006,"3811,50","22182,93",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00007,7,ADG32 6368 LPIZA SL,FV-1/2025/00007,29/10/2025,C-V/00007,"4268,88","26451,81",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00008,8,ADG32 6368 LPIZA SL,FV-1/2025/00008,05/11/2025,C-V/00008,"3354,12","29805,93",BIGCORP SL,Pagada,No enviado
6368-C-V/00009,9,ADG32 6368 LPIZA SL,FV-1/2025/00009,05/11/2025,C-V/00009,"4679,07","34485,00",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00010,10,ADG32 6368 LPIZA SL,FV-1/2025/00010,05/11/2025,C-V/00010,"4758,93","39243,93",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00011,11,ADG32 6368 LPIZA SL,FV-1/2025/00011,13/11/2025,C-V/00011,"3633,63","42877,56",BIGCORP SL,Pagada,No enviado
6368-C-V/00012,12,ADG32 6368 LPIZA SL,FV-1/2025/00012,13/11/2025,C-V/00012,"4424,97","47302,53",BIGCORP SL,Pagada,No enviado
6368-C-V/00013,13,ADG32 6368 LPIZA SL,FV-1/2025/00013,13/11/2025,C-V/00013,"3644,52","50947,05",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00014,14,ADG32 6368 LPIZA SL,FV-1/2025/00014,19/11/2025,C-V/00014,"4061,97","55009,02",BIGCORP SL,Pagada,No enviado
6368-C-V/00015,15,ADG32 6368 LPIZA SL,FV-1/2025/00015,19/11/2025,C-V/00015,"3695,34","58704,36",BIGCORP SL,Pagada,No enviado
6368-C-V/00016,16,ADG32 6368 LPIZA SL,FV-1/2025/00016,19/11/2025,C-V/00016,"3818,76","62523,12",COMERCIAL CALCO SA,Pagada,No enviado
6368-C-V/00017,17,ADG32 6368 LPIZA SL,FV-1/2025/00017,27/11/2025,C-V/00017,"4159,98","66683,10",BIGCORP SL,Publicado,No enviado
6368-C-V/00018,18,ADG32 6368 LPIZA SL,FV-1/2025/00018,27/11/2025,C-V/00018,"3484,80","70167,90",COMERCIAL CALCO SA,Publicado,No enviado
6368-C-V/00019,19,ADG32 6368 LPIZA SL,FV-1/2025/00019,27/11/2025,C-V/00019,"4700,85","74868,75",COMERCIAL CALCO SA,Publicado,No enviado
"6368-C-V/00022, C-V/00020, C-V/00021",20,ADG32 6368 LPIZA SL,FV-1/2025/00020,03/12/2025,"C-V/00022, C-V/00020, C-V/00021","12864,72","87733,47",COMERCIAL CALCO SA,Publicado,No enviado
6368-C-V/00023,21,ADG32 6368 LPIZA SL,FV-1/2025/00021,10/12/2025,C-V/00023,"4352,37","92085,84",COMERCIAL CALCO SA,Publicado,No enviado
"6368-C-V/00025, C-V/00024",22,ADG32 6368 LPIZA SL,FV-1/2025/00022,10/12/2025,"C-V/00025, C-V/00024","8817,27","100903,11",BIGCORP SL,Publicado,No enviado
"6368-C-V/00029, C-V/00028, C-V/00027",23,ADG32 6368 LPIZA SL,FV-1/2025/00023,17/12/2025,"C-V/00029, C-V/00028, C-V/00027","10537,89","111441,00",BIGCORP SL,Publicado,No enviado
6369-C-V/00001,1,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00001,17/10/2025,C-V/00001,"4248,92","4248,92",COMERCIAL CALCO SA,Pagada,No enviado
6369-C-V/00002,2,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00002,22/10/2025,C-V/00002,"4153,63","8402,55",BIGCORP SL,Pagada,No enviado
6369-C-V/00003,3,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00003,23/10/2025,C-V/00003,"3855,06","12257,61",COMERCIAL CALCO SA,Pagada,No enviado
6369-C-V/00004,4,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00004,23/10/2025,C-V/00004,"3531,08","15788,69",COMERCIAL CALCO SA,Publicado,No enviado
6369-C-V/00005,5,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00005,29/10/2025,C-V/00005,"4583,78","20372,47",COMERCIAL CALCO SA,Pagada,No enviado
6369-C-V/00006,6,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00006,29/10/2025,C-V/00006,"3873,21","24245,68",BIGCORP SL,Pagada,No enviado
6369-C-V/00007,7,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00007,29/10/2025,C-V/00007,"3289,69","27535,37",BIGCORP SL,Pagada,No enviado
6369-C-V/00008,8,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00008,05/11/2025,C-V/00008,"4173,59","31708,96",COMERCIAL CALCO SA,Pagada,No enviado
6369-C-V/00009,9,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00009,05/11/2025,C-V/00009,"3426,72","35135,68",BIGCORP SL,Pagada,No enviado
6369-C-V/00010,10,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00010,05/11/2025,C-V/00010,"3703,51","38839,19",BIGCORP SL,Pagada,No enviado
6369-C-V/00011,11,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00011,12/11/2025,C-V/00011,"3294,23","42133,42",COMERCIAL CALCO SA,Pagada,No enviado
6369-C-V/00012,12,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00012,12/11/2025,C-V/00012,"4090,10","46223,52",BIGCORP SL,Pagada,No enviado
6369-C-V/00013,13,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00013,12/11/2025,C-V/00013,"4539,32","50762,84",COMERCIAL CALCO SA,Pagada,No enviado
6369-C-V/00014,14,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00014,19/11/2025,C-V/00014,"3463,02","54225,86",BIGCORP SL,Pagada,No enviado
6369-C-V/00015,15,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00015,19/11/2025,C-V/00015,"4633,70","58859,56",BIGCORP SL,Pagada,No enviado
6369-C-V/00016,16,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00016,19/11/2025,C-V/00016,"3423,09","62282,65",COMERCIAL CALCO SA,Pagada,No enviado
6369-C-V/00017,17,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00017,26/11/2025,C-V/00017,"4598,30","66880,95",BIGCORP SL,Publicado,No enviado
6369-C-V/00018,18,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00018,26/11/2025,C-V/00018,"4544,76","71425,71",BIGCORP SL,Publicado,No enviado
6369-C-V/00019,19,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00019,26/11/2025,C-V/00019,"3507,49","74933,20",BIGCORP SL,Publicado,No enviado
"6369-C-V/00020, C-V/00021",20,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00021,03/12/2025,"C-V/00020, C-V/00021","7827,19","82760,39",COMERCIAL CALCO SA,Publicado,No enviado
6369-C-V/00022,21,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00020,03/12/2025,C-V/00022,"3653,60","86413,99",BIGCORP SL,Publicado,No enviado
6369-C-V/00023,22,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00022,10/12/2025,C-V/00023,"4285,22","90699,21",COMERCIAL CALCO SA,Publicado,No enviado
"6369-C-V/00024, C-V/00025",23,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00023,10/12/2025,"C-V/00024, C-V/00025","7581,26","98280,47",BIGCORP SL,Publicado,No enviado
6369-C-V/00027,24,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00024,18/12/2025,C-V/00027,"3881,38","102161,85",COMERCIAL CALCO SA,Publicado,No enviado
"6369-C-V/00028, C-V/00029",25,ADG32 6369 VMASTRANGELO SL,FV-1/2025/00025,18/12/2025,"C-V/00028, C-V/00029","7885,27","110047,12",BIGCORP SL,Publicado,No enviado
6427-C-V/00001,1,ADG32 6427 NANANOU SL,FV-1/2025/00001,17/10/2025,C-V/00001,"3208,92","3208,92",BIGCORP SL,Pagada,No enviado
6427-C-V/00002,2,ADG32 6427 NANANOU SL,FV-1/2025/00002,23/10/2025,C-V/00002,"3510,21","6719,13",COMERCIAL CALCO SA,Pagada,No enviado
6427-C-V/00003,3,ADG32 6427 NANANOU SL,FV-1/2025/00003,23/10/2025,C-V/00003,"4032,93","10752,06",COMERCIAL CALCO SA,Pagada,No enviado
6427-C-V/00004,4,ADG32 6427 NANANOU SL,FV-1/2025/00004,23/10/2025,C-V/00004,"3691,71","14443,77",BIGCORP SL,Pagada,No enviado
6427-C-V/00005,5,ADG32 6427 NANANOU SL,FV-1/2025/00005,29/10/2025,C-V/00005,"3292,41","17736,18",COMERCIAL CALCO SA,Pagada,No enviado
6427-C-V/00006,6,ADG32 6427 NANANOU SL,FV-1/2025/00006,29/10/2025,C-V/00006,"3357,75","21093,93",COMERCIAL CALCO SA,Pagada,No enviado
6427-C-V/00007,7,ADG32 6427 NANANOU SL,FV-1/2025/00007,29/10/2025,C-V/00007,"3989,37","25083,30",BIGCORP SL,Pagada,No enviado
6427-C-V/00008,8,ADG32 6427 NANANOU SL,FV-1/2025/00008,05/11/2025,C-V/00008,"3303,30","28386,60",COMERCIAL CALCO SA,Pagada,No enviado
6427-C-V/00009,9,ADG32 6427 NANANOU SL,FV-1/2025/00009,05/11/2025,C-V/00009,"4704,48","33091,08",BIGCORP SL,Pagada,No enviado
6427-C-V/00010,10,ADG32 6427 NANANOU SL,FV-1/2025/00010,05/11/2025,C-V/00010,"4682,70","37773,78",BIGCORP SL,Pagada,No enviado
6427-C-V/00011,11,ADG32 6427 NANANOU SL,FV-1/2025/00011,12/11/2025,C-V/00011,"3379,53","41153,31",BIGCORP SL,Pagada,No enviado
6427-C-V/00012,12,ADG32 6427 NANANOU SL,FV-1/2025/00012,12/11/2025,C-V/00012,"3793,35","44946,66",BIGCORP SL,Pagada,No enviado
6427-C-V/00013,13,ADG32 6427 NANANOU SL,FV-1/2025/00013,12/11/2025,C-V/00013,"4007,52","48954,18",COMERCIAL CALCO SA,Pagada,No enviado
6427-C-V/00014,14,ADG32 6427 NANANOU SL,FV-1/2025/00014,21/11/2025,C-V/00014,"3909,51","52863,69",BIGCORP SL,Pagada,No enviado
6427-C-V/00015,15,ADG32 6427 NANANOU SL,FV-1/2025/00015,21/11/2025,C-V/00015,"4704,48","57568,17",COMERCIAL CALCO SA,Pagada,No enviado
6427-C-V/00016,16,ADG32 6427 NANANOU SL,FV-1/2025/00016,21/11/2025,C-V/00016,"3198,03","60766,20",BIGCORP SL,Pagada,No enviado
6427-C-V/00017,17,ADG32 6427 NANANOU SL,FV-1/2025/00017,26/11/2025,C-V/00017,"4508,46","65274,66",BIGCORP SL,Publicado,No enviado
6427-C-V/00018,18,ADG32 6427 NANANOU SL,FV-1/2025/00018,26/11/2025,C-V/00018,"4000,26","69274,92",BIGCORP SL,Publicado,No enviado
6427-C-V/00019,19,ADG32 6427 NANANOU SL,FV-1/2025/00019,26/11/2025,C-V/00019,"3553,77","72828,69",COMERCIAL CALCO SA,Publicado,No enviado
"6427-C-V/00021, C-V/00022, C-V/00020",20,ADG32 6427 NANANOU SL,FV-1/2025/00020,03/12/2025,"C-V/00021, C-V/00022, C-V/00020","11169,51","83998,20",BIGCORP SL,Publicado,No enviado
"6427-C-V/00023, C-V/00024",21,ADG32 6427 NANANOU SL,FV-1/2025/00022,10/12/2025,"C-V/00023, C-V/00024","8871,72","92869,92",COMERCIAL CALCO SA,Publicado,No enviado
6427-C-V/00025,22,ADG32 6427 NANANOU SL,FV-1/2025/00021,10/12/2025,C-V/00025,"3757,05","96626,97",BIGCORP SL,Publicado,No enviado
"6427-C-V/00028, C-V/00029, C-V/00027",23,ADG32 6427 NANANOU SL,FV-1/2025/00023,18/12/2025,"C-V/00028, C-V/00029, C-V/00027","11467,17","108094,14",BIGCORP SL,Publicado,No enviado
6427-C-V/00030,24,ADG32 6427 NANANOU SL,FV-2/2025/00001,30/12/2025,C-V/00030,"493,68","108587,82",ADG53 4751 APONS SL,Publicado,No enviado
6428-C-V/00001,1,ADG32 6428 ABOUBAL SL,FV-1/2025/00004,24/10/2025,C-V/00001,"3528,36","3528,36",COMERCIAL CALCO SA,Pagada,No enviado
6428-C-V/00002,2,ADG32 6428 ABOUBAL SL,FV-1/2025/00001,24/10/2025,C-V/00002,"3786,09","7314,45",COMERCIAL CALCO SA,Pagada,No enviado
6428-C-V/00003,3,ADG32 6428 ABOUBAL SL,FV-1/2025/00002,24/10/2025,C-V/00003,"4123,68","11438,13",COMERCIAL CALCO SA,Pagada,No enviado
6428-C-V/00004,4,ADG32 6428 ABOUBAL SL,FV-1/2025/00003,24/10/2025,C-V/00004,"4577,43","16015,56",COMERCIAL CALCO SA,Pagada,No enviado
6428-C-V/00005,5,ADG32 6428 ABOUBAL SL,FV-1/2025/00005,29/10/2025,C-V/00005,"3869,58","19885,14",COMERCIAL CALCO SA,Pagada,No enviado
6428-C-V/00006,6,ADG32 6428 ABOUBAL SL,FV-1/2025/00006,29/10/2025,C-V/00006,"3230,70","23115,84",COMERCIAL CALCO SA,Pagada,No enviado
6428-C-V/00007,7,ADG32 6428 ABOUBAL SL,FV-1/2025/00007,29/10/2025,C-V/00007,"4642,77","27758,61",COMERCIAL CALCO SA,Publicado,No enviado
6428-C-V/00008,8,ADG32 6428 ABOUBAL SL,FV-1/2025/00008,05/11/2025,C-V/00008,"4178,13","31936,74",BIGCORP SL,Pagada,No enviado
6428-C-V/00009,9,ADG32 6428 ABOUBAL SL,FV-1/2025/00009,05/11/2025,C-V/00009,"3386,79","35323,53",COMERCIAL CALCO SA,Pagada,No enviado
6428-C-V/00010,10,ADG32 6428 ABOUBAL SL,FV-1/2025/00010,05/11/2025,C-V/00010,"4552,02","39875,55",COMERCIAL CALCO SA,Publicado,No enviado
6428-C-V/00011,11,ADG32 6428 ABOUBAL SL,FV-1/2025/00011,12/11/2025,C-V/00011,"4428,60","44304,15",COMERCIAL CALCO SA,Publicado,No enviado
6428-C-V/00012,12,ADG32 6428 ABOUBAL SL,FV-1/2025/00012,12/11/2025,C-V/00012,"3335,97","47640,12",BIGCORP SL,Pagada,No enviado
6428-C-V/00013,13,ADG32 6428 ABOUBAL SL,FV-1/2025/00013,12/11/2025,C-V/00013,"3659,04","51299,16",BIGCORP SL,Pagada,No enviado
6428-C-V/00014,14,ADG32 6428 ABOUBAL SL,FV-1/2025/00014,19/11/2025,C-V/00014,"4755,30","56054,46",BIGCORP SL,Pagada,No enviado
6428-C-V/00015,15,ADG32 6428 ABOUBAL SL,FV-1/2025/00015,19/11/2025,C-V/00015,"4435,86","60490,32",BIGCORP SL,Pagada,No enviado
6428-C-V/00016,16,ADG32 6428 ABOUBAL SL,FV-1/2025/00016,19/11/2025,C-V/00016,"3869,58","64359,90",BIGCORP SL,Pagada,No enviado
"6428-C-V/00018, C-V/00017, C-V/00019",17,ADG32 6428 ABOUBAL SL,FV-1/2025/00017,26/11/2025,"C-V/00018, C-V/00017, C-V/00019","12305,70","76665,60",COMERCIAL CALCO SA,Publicado,No enviado
6428-C-V/00021,18,ADG32 6428 ABOUBAL SL,FV-1/2025/00018,03/12/2025,C-V/00021,"4755,30","81420,90",COMERCIAL CALCO SA,Publicado,No enviado
"6428-C-V/00022, C-V/00020",19,ADG32 6428 ABOUBAL SL,FV-1/2025/00019,03/12/2025,"C-V/00022, C-V/00020","7049,46","88470,36",BIGCORP SL,Publicado,No enviado
"6428-C-V/00023, C-V/00025",20,ADG32 6428 ABOUBAL SL,FV-1/2025/00020,10/12/2025,"C-V/00023, C-V/00025","7314,45","95784,81",COMERCIAL CALCO SA,Publicado,No enviado
6428-C-V/00024,21,ADG32 6428 ABOUBAL SL,FV-1/2025/00021,10/12/2025,C-V/00024,"4058,34","99843,15",BIGCORP SL,Publicado,No enviado
6428-C-V/00027,22,ADG32 6428 ABOUBAL SL,FV-1/2025/00023,18/12/2025,C-V/00027,"3444,87","103288,02",BIGCORP SL,Publicado,No enviado
"6428-C-V/00028, C-V/00026",23,ADG32 6428 ABOUBAL SL,FV-1/2025/00022,18/12/2025,"C-V/00028, C-V/00026","7702,86","110990,88",COMERCIAL CALCO SA,Publicado,No enviado
6428-C-V/00031,24,ADG32 6428 ABOUBAL SL,FV-2/2025/00001,30/12/2025,C-V/00031,"490,05","111480,93",ADG53 4751 APONS SL,Publicado,No enviado
6431-C-V/00001,1,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00001,17/10/2025,C-V/00001,"3949,44","3949,44",BIGCORP SL,Pagada,No enviado
6431-C-V/00002,2,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00002,23/10/2025,C-V/00002,"3648,15","7597,59",BIGCORP SL,Pagada,No enviado
6431-C-V/00003,3,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00003,23/10/2025,C-V/00003,"3214,37","10811,96",BIGCORP SL,Pagada,No enviado
6431-C-V/00004,4,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00004,23/10/2025,C-V/00004,"3914,96","14726,92",BIGCORP SL,Pagada,No enviado
6431-C-V/00005,5,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00005,29/10/2025,C-V/00005,"3305,12","18032,04",COMERCIAL CALCO SA,Pagada,No enviado
6431-C-V/00006,6,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00006,29/10/2025,C-V/00006,"4232,58","22264,62",BIGCORP SL,Pagada,No enviado
6431-C-V/00007,7,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00007,29/10/2025,C-V/00007,"3261,56","25526,18",BIGCORP SL,Pagada,No enviado
6431-C-V/00009,8,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00008,05/11/2025,C-V/00009,"4140,02","29666,20",BIGCORP SL,Pagada,No enviado
6431-C-V/00010,9,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00009,05/11/2025,C-V/00010,"3764,31","33430,51",COMERCIAL CALCO SA,Pagada,No enviado
6431-C-V/00012,10,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00010,05/11/2025,C-V/00012,"3660,86","37091,37",BIGCORP SL,Pagada,No enviado
6431-C-V/00013,11,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00011,12/11/2025,C-V/00013,"3245,22","40336,59",COMERCIAL CALCO SA,Pagada,No enviado
6431-C-V/00014,12,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00012,12/11/2025,C-V/00014,"3604,59","43941,18",COMERCIAL CALCO SA,Pagada,No enviado
6431-C-V/00015,13,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00013,12/11/2025,C-V/00015,"4682,70","48623,88",COMERCIAL CALCO SA,Pagada,No enviado
6431-C-V/00016,14,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00014,19/11/2025,C-V/00016,"4363,26","52987,14",COMERCIAL CALCO SA,Pagada,No enviado
6431-C-V/00017,15,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00015,19/11/2025,C-V/00017,"4045,64","57032,78",COMERCIAL CALCO SA,Pagada,No enviado
6431-C-V/00018,16,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00016,19/11/2025,C-V/00018,"3755,24","60788,02",COMERCIAL CALCO SA,Pagada,No enviado
6431-C-V/00019,17,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00017,26/11/2025,C-V/00019,"3394,05","64182,07",COMERCIAL CALCO SA,Publicado,No enviado
6431-C-V/00020,18,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00018,26/11/2025,C-V/00020,"4014,78","68196,85",BIGCORP SL,Publicado,No enviado
6431-C-V/00021,19,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00019,26/11/2025,C-V/00021,"4221,69","72418,54",COMERCIAL CALCO SA,Publicado,No enviado
"6431-C-V/00023, C-V/00022",20,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00020,03/12/2025,"C-V/00023, C-V/00022","9165,75","81584,29",COMERCIAL CALCO SA,Publicado,No enviado
6431-C-V/00024,21,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00021,03/12/2025,C-V/00024,"3766,13","85350,42",BIGCORP SL,Publicado,No enviado
6431-C-V/00025,22,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00022,10/12/2025,C-V/00025,"4040,19","89390,61",COMERCIAL CALCO SA,Publicado,No enviado
"6431-C-V/00027, C-V/00026",23,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00023,10/12/2025,"C-V/00027, C-V/00026","8788,23","98178,84",BIGCORP SL,Publicado,No enviado
6431-C-V/00028,24,ADG32 6431 GZOUGGAGHI SL,FV-2/2025/00001,29/12/2025,C-V/00028,"511,83","98690,67",ADG53 4751 APONS SL,Publicado,No enviado
6431-C-V/00029,25,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00024,18/12/2025,C-V/00029,"3493,88","102184,55",BIGCORP SL,Publicado,No enviado
"6431-C-V/00031, C-V/00030",26,ADG32 6431 GZOUGGAGHI SL,FV-1/2025/00025,18/12/2025,"C-V/00031, C-V/00030","8319,96","110504,51",COMERCIAL CALCO SA,Publicado,No enviado
6702-C-V/00001,1,ADG32 6702 NFORNES SL,FV-1/2025/00001,20/10/2025,C-V/00001,"3237,96","3237,96",COMERCIAL CALCO SA,Pagada,No enviado
6702-C-V/00002,2,ADG32 6702 NFORNES SL,FV-1/2025/00002,23/10/2025,C-V/00002,"4036,56","7274,52",COMERCIAL CALCO SA,Pagada,No enviado
6702-C-V/00003,3,ADG32 6702 NFORNES SL,FV-1/2025/00003,23/10/2025,C-V/00003,"3521,10","10795,62",COMERCIAL CALCO SA,Pagada,No enviado
6702-C-V/00004,4,ADG32 6702 NFORNES SL,FV-1/2025/00004,23/10/2025,C-V/00004,"4352,37","15147,99",BIGCORP SL,Pagada,No enviado
6702-C-V/00005,5,ADG32 6702 NFORNES SL,FV-1/2025/00005,29/10/2025,C-V/00005,"3630,00","18777,99",COMERCIAL CALCO SA,Pagada,No enviado
6702-C-V/00006,6,ADG32 6702 NFORNES SL,FV-1/2025/00006,29/10/2025,C-V/00006,"4660,92","23438,91",BIGCORP SL,Pagada,No enviado
6702-C-V/00007,7,ADG32 6702 NFORNES SL,FV-1/2025/00007,29/10/2025,C-V/00007,"3350,49","26789,40",BIGCORP SL,Pagada,No enviado
6702-C-V/00008,8,ADG32 6702 NFORNES SL,FV-1/2025/00008,05/11/2025,C-V/00008,"3499,32","30288,72",COMERCIAL CALCO SA,Pagada,No enviado
6702-C-V/00009,9,ADG32 6702 NFORNES SL,FV-1/2025/00009,05/11/2025,C-V/00009,"3401,31","33690,03",BIGCORP SL,Pagada,No enviado
6702-C-V/00010,10,ADG32 6702 NFORNES SL,FV-1/2025/00010,05/11/2025,C-V/00010,"4007,52","37697,55",BIGCORP SL,Pagada,No enviado
6702-C-V/00011,11,ADG32 6702 NFORNES SL,FV-1/2025/00011,12/11/2025,C-V/00011,"4167,24","41864,79",BIGCORP SL,Pagada,No enviado
6702-C-V/00012,12,ADG32 6702 NFORNES SL,FV-1/2025/00012,12/11/2025,C-V/00012,"3292,41","45157,20",BIGCORP SL,Pagada,No enviado
6702-C-V/00013,13,ADG32 6702 NFORNES SL,FV-1/2025/00013,12/11/2025,C-V/00013,"4199,91","49357,11",COMERCIAL CALCO SA,Pagada,No enviado
6702-C-V/00014,14,ADG32 6702 NFORNES SL,FV-1/2025/00014,19/11/2025,C-V/00014,"4141,83","53498,94",COMERCIAL CALCO SA,Pagada,No enviado
6702-C-V/00015,15,ADG32 6702 NFORNES SL,FV-1/2025/00015,19/11/2025,C-V/00015,"4719,00","58217,94",COMERCIAL CALCO SA,Pagada,No enviado
6702-C-V/00017,16,ADG32 6702 NFORNES SL,FV-1/2025/00016,19/11/2025,C-V/00017,"3383,16","61601,10",BIGCORP SL,Pagada,No enviado
6702-C-V/00018,17,ADG32 6702 NFORNES SL,FV-1/2025/00017,26/11/2025,C-V/00018,"3586,44","65187,54",BIGCORP SL,Publicado,No enviado
6702-C-V/00019,18,ADG32 6702 NFORNES SL,FV-1/2025/00018,26/11/2025,C-V/00019,"4287,03","69474,57",BIGCORP SL,Publicado,No enviado
6702-C-V/00020,19,ADG32 6702 NFORNES SL,FV-1/2025/00019,26/11/2025,C-V/00020,"3865,95","73340,52",COMERCIAL CALCO SA,Publicado,No enviado
"6702-C-V/00021, C-V/00022",20,ADG32 6702 NFORNES SL,FV-1/2025/00020,03/12/2025,"C-V/00021, C-V/00022","7866,21","81206,73",COMERCIAL CALCO SA,Publicado,No enviado
6702-C-V/00023,21,ADG32 6702 NFORNES SL,FV-1/2025/00021,03/12/2025,C-V/00023,"4094,64","85301,37",BIGCORP SL,Publicado,No enviado
"6702-C-V/00025, C-V/00024, C-V/00026",22,ADG32 6702 NFORNES SL,FV-1/2025/00022,10/12/2025,"C-V/00025, C-V/00024, C-V/00026","12483,57","97784,94",COMERCIAL CALCO SA,Publicado,No enviado
"6702-C-V/00028, C-V/00030, C-V/00027",23,ADG32 6702 NFORNES SL,FV-1/2025/00023,18/12/2025,"C-V/00028, C-V/00030, C-V/00027","11939,07","109724,01",BIGCORP SL,Publicado,No enviado
6706-C-V/00001,1,ADG32 6706 NSUIYHI SL,FV-1/2025/00001,17/10/2025,C-V/00001,"3648,15","3648,15",COMERCIAL CALCO SA,Pagada,No enviado
