A_CLAU_UNICA_VF,A_ID_VF,A_EMPRESA_VF,A_NUM_FACTURA_VF,A_FECHA_FACTURA_VF,A_ORIGEN_VF,A_IMPORTE_VF,A_ACUMULADO_VF,A_CLIENT_VF,A_PAGADA_VF,A_ENVIADA_VF
6706-C-V/00002,2,ADG32 6706 NSUIYHI SL,FV-1/2025/00002,23/10/2025,C-V/00002,"3898,62","7546,77",BIGCORP SL,Pagada,No enviado
6706-C-V/00003,3,ADG32 6706 NSUIYHI SL,FV-1/2025/00003,23/10/2025,C-V/00003,"4323,33","11870,10",BIGCORP SL,Pagada,No enviado
6706-C-V/00004,4,ADG32 6706 NSUIYHI SL,FV-1/2025/00004,23/10/2025,C-V/00004,"4279,77","16149,87",COMERCIAL CALCO SA,Pagada,No enviado
6706-C-V/00005,5,ADG32 6706 NSUIYHI SL,FV-1/2025/00005,29/10/2025,C-V/00005,"4290,66","20440,53",BIGCORP SL,Pagada,No enviado
6706-C-V/00006,6,ADG32 6706 NSUIYHI SL,FV-1/2025/00006,29/10/2025,C-V/00006,"4225,32","24665,85",COMERCIAL CALCO SA,Pagada,No enviado
6706-C-V/00007,7,ADG32 6706 NSUIYHI SL,FV-1/2025/00007,29/10/2025,C-V/00007,"3463,02","28128,87",COMERCIAL CALCO SA,Pagado parcialmente,No enviado
6706-C-V/00011,8,ADG32 6706 NSUIYHI SL,FV-1/2025/00008,05/11/2025,C-V/00011,"3931,29","32060,16",BIGCORP SL,Pagada,No enviado
6706-C-V/00012,9,ADG32 6706 NSUIYHI SL,FV-1/2025/00009,05/11/2025,C-V/00012,"4595,58","36655,74",COMERCIAL CALCO SA,Pagado parcialmente,No enviado
6706-C-V/00013,10,ADG32 6706 NSUIYHI SL,FV-1/2025/00010,05/11/2025,C-V/00013,"3419,46","40075,20",COMERCIAL CALCO SA,Pagada,No enviado
6706-C-V/00014,11,ADG32 6706 NSUIYHI SL,FV-1/2025/00011,12/11/2025,C-V/00014,"4083,75","44158,95",COMERCIAL CALCO SA,Pagada,No enviado
6706-C-V/00015,12,ADG32 6706 NSUIYHI SL,FV-1/2025/00012,12/11/2025,C-V/00015,"4203,54","48362,49",COMERCIAL CALCO SA,Pagada,No enviado
6706-C-V/00016,13,ADG32 6706 NSUIYHI SL,FV-1/2025/00013,12/11/2025,C-V/00016,"4257,99","52620,48",COMERCIAL CALCO SA,Pagada,No enviado
6706-C-V/00017,14,ADG32 6706 NSUIYHI SL,FV-1/2025/00014,19/11/2025,C-V/00017,"3397,68","56018,16",BIGCORP SL,Pagada,No enviado
6706-C-V/00018,15,ADG32 6706 NSUIYHI SL,FV-1/2025/00015,19/11/2025,C-V/00018,"3931,29","59949,45",COMERCIAL CALCO SA,Pagada,No enviado
6706-C-V/00019,16,ADG32 6706 NSUIYHI SL,FV-1/2025/00016,19/11/2025,C-V/00019,"4606,47","64555,92",BIGCORP SL,Publicado,No enviado
6706-C-V/00020,17,ADG32 6706 NSUIYHI SL,FV-1/2025/00017,26/11/2025,C-V/00020,"4443,12","68999,04",COMERCIAL CALCO SA,Publicado,No enviado
6706-C-V/00021,18,ADG32 6706 NSUIYHI SL,FV-1/2025/00018,26/11/2025,C-V/00021,"4410,45","73409,49",COMERCIAL CALCO SA,Publicado,No enviado
6706-C-V/00022,19,ADG32 6706 NSUIYHI SL,FV-1/2025/00019,26/11/2025,C-V/00022,"4737,15","78146,64",BIGCORP SL,Pagado parcialmente,No enviado
"6706-C-V/00024, C-V/00025, C-V/00023",20,ADG32 6706 NSUIYHI SL,FV-1/2025/00020,05/12/2025,"C-V/00024, C-V/00025, C-V/00023","12262,14","90408,78",COMERCIAL CALCO SA,Publicado,No enviado
6706-C-V/00026,21,ADG32 6706 NSUIYHI SL,FV-1/2025/00021,10/12/2025,C-V/00026,"3212,55","93621,33",BIGCORP SL,Publicado,No enviado
6706-C-V/00027,22,ADG32 6706 NSUIYHI SL,FV-1/2025/00022,10/12/2025,C-V/00027,"3985,74","97607,07",COMERCIAL CALCO SA,Publicado,No enviado
6706-C-V/00028,23,ADG32 6706 NSUIYHI SL,FV-1/2025/00023,10/12/2025,C-V/00028,"4247,10","101854,17",BIGCORP SL,Publicado,No enviado
6706-C-V/00030,24,ADG32 6706 NSUIYHI SL,FV-1/2025/00024,18/12/2025,C-V/00030,"3550,14","105404,31",COMERCIAL CALCO SA,Cancelado,No enviado
"6706-C-V/00030, C-V/00031",25,ADG32 6706 NSUIYHI SL,FV-1/2025/00025,18/12/2025,"C-V/00030, C-V/00031","6751,80","112156,11",COMERCIAL CALCO SA,Publicado,No enviado
6706-C-V/00032,26,ADG32 6706 NSUIYHI SL,FV-1/2025/00026,18/12/2025,C-V/00032,"3267,00","115423,11",BIGCORP SL,Publicado,No enviado
6707-C-V/00001,1,ADG32 6707 MOUAZINE SL,FV-1/2025/00001,17/10/2025,C-V/00001,"4098,27","4098,27",BIGCORP SL,Pagada,No enviado
6707-C-V/00002,2,ADG32 6707 MOUAZINE SL,FV-1/2025/00002,24/10/2025,C-V/00002,"4022,04","8120,31",COMERCIAL CALCO SA,Pagada,No enviado
6707-C-V/00003,3,ADG32 6707 MOUAZINE SL,FV-1/2025/00003,24/10/2025,C-V/00003,"4443,12","12563,43",COMERCIAL CALCO SA,Pagada,No enviado
6707-C-V/00004,4,ADG32 6707 MOUAZINE SL,FV-1/2025/00004,24/10/2025,C-V/00004,"4606,47","17169,90",COMERCIAL CALCO SA,Pagada,No enviado
6707-C-V/00005,5,ADG32 6707 MOUAZINE SL,FV-1/2025/00005,29/10/2025,C-V/00005,"4352,37","21522,27",COMERCIAL CALCO SA,Pagada,No enviado
6707-C-V/00006,6,ADG32 6707 MOUAZINE SL,FV-1/2025/00006,29/10/2025,C-V/00006,"3412,20","24934,47",BIGCORP SL,Pagada,No enviado
6707-C-V/00007,7,ADG32 6707 MOUAZINE SL,FV-1/2025/00007,29/10/2025,C-V/00007,"4657,29","29591,76",COMERCIAL CALCO SA,Pagada,No enviado
6707-C-V/00008,8,ADG32 6707 MOUAZINE SL,FV-1/2025/00008,05/11/2025,C-V/00008,"4145,46","33737,22",COMERCIAL CALCO SA,Pagada,No enviado
6707-C-V/00009,9,ADG32 6707 MOUAZINE SL,FV-1/2025/00009,05/11/2025,C-V/00009,"3357,75","37094,97",BIGCORP SL,Pagada,No enviado
6707-C-V/00010,10,ADG32 6707 MOUAZINE SL,FV-1/2025/00010,05/11/2025,C-V/00010,"4559,28","41654,25",COMERCIAL CALCO SA,Pagada,No enviado
6707-C-V/00011,11,ADG32 6707 MOUAZINE SL,FV-1/2025/00011,14/11/2025,C-V/00011,"3978,48","45632,73",BIGCORP SL,Pagada,No enviado
6707-C-V/00012,12,ADG32 6707 MOUAZINE SL,FV-1/2025/00012,14/11/2025,C-V/00012,"3713,49","49346,22",COMERCIAL CALCO SA,Pagada,No enviado
6707-C-V/00013,13,ADG32 6707 MOUAZINE SL,FV-1/2025/00013,14/11/2025,C-V/00013,"3934,92","53281,14",COMERCIAL CALCO SA,Pagada,No enviado
6707-C-V/00014,14,ADG32 6707 MOUAZINE SL,FV-1/2025/00014,19/11/2025,C-V/00014,"4087,38","57368,52",COMERCIAL CALCO SA,Pagada,No enviado
6707-C-V/00015,15,ADG32 6707 MOUAZINE SL,FV-1/2025/00015,19/11/2025,C-V/00015,"3477,54","60846,06",BIGCORP SL,Pagada,No enviado
6707-C-V/00016,16,ADG32 6707 MOUAZINE SL,FV-1/2025/00016,19/11/2025,C-V/00016,"4000,26","64846,32",COMERCIAL CALCO SA,Pagada,No enviado
6707-C-V/00017,17,ADG32 6707 MOUAZINE SL,FV-1/2025/00017,26/11/2025,C-V/00017,"4072,86","68919,18",BIGCORP SL,Publicado,No enviado
6707-C-V/00018,18,ADG32 6707 MOUAZINE SL,FV-1/2025/00018,26/11/2025,C-V/00018,"3325,08","72244,26",COMERCIAL CALCO SA,Publicado,No enviado
6707-C-V/00019,19,ADG32 6707 MOUAZINE SL,FV-1/2025/00019,26/11/2025,C-V/00019,"4791,60","77035,86",BIGCORP SL,Publicado,No enviado
"6707-C-V/00020, C-V/00022, C-V/00021",20,ADG32 6707 MOUAZINE SL,FV-1/2025/00020,05/12/2025,"C-V/00020, C-V/00022, C-V/00021","12062,49","89098,35",BIGCORP SL,Publicado,No enviado
"6707-C-V/00024, C-V/00023",21,ADG32 6707 MOUAZINE SL,FV-1/2025/00021,10/12/2025,"C-V/00024, C-V/00023","8232,84","97331,19",BIGCORP SL,Publicado,No enviado
6707-C-V/00025,22,ADG32 6707 MOUAZINE SL,FV-1/2025/00022,10/12/2025,C-V/00025,"4145,46","101476,65",COMERCIAL CALCO SA,Publicado,No enviado
"6707-C-V/00026, C-V/00028",23,ADG32 6707 MOUAZINE SL,FV-1/2025/00023,19/12/2025,"C-V/00026, C-V/00028","8443,38","109920,03",BIGCORP SL,Publicado,No enviado
6707-C-V/00027,24,ADG32 6707 MOUAZINE SL,FV-1/2025/00024,19/12/2025,C-V/00027,"4515,72","114435,75",COMERCIAL CALCO SA,Publicado,No enviado
6734-C-V/00001,1,ADG32 6734 LABOLAFIO SL,FV-1/2025/00001,17/10/2025,C-V/00001,"4091,01","4091,01",BIGCORP SL,Pagada,No enviado
6734-C-V/00002,2,ADG32 6734 LABOLAFIO SL,FV-1/2025/00002,23/10/2025,C-V/00002,"3408,57","7499,58",COMERCIAL CALCO SA,Pagada,No enviado
6734-C-V/00003,3,ADG32 6734 LABOLAFIO SL,FV-1/2025/00003,23/10/2025,C-V/00003,"3973,04","11472,62",BIGCORP SL,Pagada,No enviado
6734-C-V/00004,4,ADG32 6734 LABOLAFIO SL,FV-1/2025/00004,23/10/2025,C-V/00004,"4648,22","16120,84",COMERCIAL CALCO SA,Pagada,No enviado
6734-C-V/00006,5,ADG32 6734 LABOLAFIO SL,FV-1/2025/00005,29/10/2025,C-V/00006,"4027,49","20148,33",COMERCIAL CALCO SA,Pagada,No enviado
6734-C-V/00007,6,ADG32 6734 LABOLAFIO SL,FV-1/2025/00006,29/10/2025,C-V/00007,"3404,94","23553,27",COMERCIAL CALCO SA,Pagada,No enviado
6734-C-V/00008,7,ADG32 6734 LABOLAFIO SL,FV-1/2025/00007,29/10/2025,C-V/00008,"3791,54","27344,81",BIGCORP SL,Pagada,No enviado
6734-C-V/00009,8,ADG32 6734 LABOLAFIO SL,FV-1/2025/00008,05/11/2025,C-V/00009,"4288,85","31633,66",COMERCIAL CALCO SA,Pagada,No enviado
6734-C-V/00010,9,ADG32 6734 LABOLAFIO SL,FV-1/2025/00009,05/11/2025,C-V/00010,"4733,52","36367,18",BIGCORP SL,Pagada,No enviado
6734-C-V/00011,10,ADG32 6734 LABOLAFIO SL,FV-1/2025/00010,05/11/2025,C-V/00011,"4005,71","40372,89",COMERCIAL CALCO SA,Pagada,No enviado
6734-C-V/00012,11,ADG32 6734 LABOLAFIO SL,FV-1/2025/00011,12/11/2025,C-V/00012,"4254,36","44627,25",BIGCORP SL,Pagada,No enviado
6734-C-V/00013,12,ADG32 6734 LABOLAFIO SL,FV-1/2025/00012,12/11/2025,C-V/00013,"3225,26","47852,51",COMERCIAL CALCO SA,Pagada,No enviado
6734-C-V/00014,13,ADG32 6734 LABOLAFIO SL,FV-1/2025/00013,12/11/2025,C-V/00014,"4472,16","52324,67",BIGCORP SL,Pagada,No enviado
6734-C-V/00015,14,ADG32 6734 LABOLAFIO SL,FV-1/2025/00014,20/11/2025,C-V/00015,"4232,58","56557,25",BIGCORP SL,Pagada,No enviado
6734-C-V/00016,15,ADG32 6734 LABOLAFIO SL,FV-1/2025/00015,20/11/2025,C-V/00016,"3515,66","60072,91",COMERCIAL CALCO SA,Pagada,No enviado
6734-C-V/00017,16,ADG32 6734 LABOLAFIO SL,FV-1/2025/00016,20/11/2025,C-V/00017,"4508,46","64581,37",COMERCIAL CALCO SA,Publicado,No enviado
6734-C-V/00018,17,ADG32 6734 LABOLAFIO SL,FV-1/2025/00017,26/11/2025,C-V/00018,"4608,29","69189,66",COMERCIAL CALCO SA,Pagado parcialmente,No enviado
6734-C-V/00019,18,ADG32 6734 LABOLAFIO SL,FV-1/2025/00018,26/11/2025,C-V/00019,"4700,85","73890,51",BIGCORP SL,Publicado,No enviado
6734-C-V/00020,19,ADG32 6734 LABOLAFIO SL,FV-1/2025/00019,26/11/2025,C-V/00020,"4702,67","78593,18",BIGCORP SL,Publicado,No enviado
6734-C-V/00021,20,ADG32 6734 LABOLAFIO SL,FV-1/2025/00020,03/12/2025,C-V/00021,"4670,00","83263,18",BIGCORP SL,Publicado,No enviado
"6734-C-V/00023, C-V/00022",21,ADG32 6734 LABOLAFIO SL,FV-1/2025/00021,03/12/2025,"C-V/00023, C-V/00022","7490,51","90753,69",COMERCIAL CALCO SA,Publicado,No enviado
6734-C-V/00024,22,ADG32 6734 LABOLAFIO SL,FV-1/2025/00022,10/12/2025,C-V/00024,"3787,91","94541,60",BIGCORP SL,Publicado,No enviado
"6734-C-V/00025, C-V/00026",23,ADG32 6734 LABOLAFIO SL,FV-1/2025/00023,10/12/2025,"C-V/00025, C-V/00026","8692,04","103233,64",COMERCIAL CALCO SA,Publicado,No enviado
"6734-C-V/00029, C-V/00028, C-V/00030",24,ADG32 6734 LABOLAFIO SL,FV-1/2025/00024,17/12/2025,"C-V/00029, C-V/00028, C-V/00030","11621,45","114855,09",BIGCORP SL,Publicado,No enviado
6746-C-V/00001,1,ADG32 6746 ELLADO SL,FV-1/2025/00001,17/10/2025,C-V/00001,"3746,16","3746,16",COMERCIAL CALCO SA,Pagada,No enviado
6746-C-V/00003,2,ADG32 6746 ELLADO SL,FV-1/2025/00002,22/10/2025,C-V/00003,"4285,22","8031,38",COMERCIAL CALCO SA,Pagada,No enviado
6746-C-V/00004,3,ADG32 6746 ELLADO SL,FV-1/2025/00003,22/10/2025,C-V/00004,"3637,26","11668,64",COMERCIAL CALCO SA,Pagada,No enviado
6746-C-V/00005,4,ADG32 6746 ELLADO SL,FV-1/2025/00004,22/10/2025,C-V/00005,"4684,52","16353,16",BIGCORP SL,Pagada,No enviado
6746-C-V/00007,5,ADG32 6746 ELLADO SL,FV-1/2025/00005,29/10/2025,C-V/00007,"4216,25","20569,41",BIGCORP SL,Pagada,No enviado
6746-C-V/00008,6,ADG32 6746 ELLADO SL,FV-1/2025/00006,29/10/2025,C-V/00008,"4481,24","25050,65",COMERCIAL CALCO SA,Pagada,No enviado
6746-C-V/00009,7,ADG32 6746 ELLADO SL,FV-1/2025/00007,29/10/2025,C-V/00009,"3611,85","28662,50",BIGCORP SL,Pagada,No enviado
6746-C-V/00010,8,ADG32 6746 ELLADO SL,FV-1/2025/00008,05/11/2025,C-V/00010,"3869,58","32532,08",COMERCIAL CALCO SA,Pagada,No enviado
6746-C-V/00011,9,ADG32 6746 ELLADO SL,FV-1/2025/00009,05/11/2025,C-V/00011,"3230,70","35762,78",BIGCORP SL,Pagada,No enviado
6746-C-V/00012,10,ADG32 6746 ELLADO SL,FV-1/2025/00010,05/11/2025,C-V/00012,"4682,70","40445,48",COMERCIAL CALCO SA,Pagada,No enviado
6746-C-V/00013,11,ADG32 6746 ELLADO SL,FV-1/2025/00011,12/11/2025,C-V/00013,"3461,21","43906,69",BIGCORP SL,Pagada,No enviado
6746-C-V/00014,12,ADG32 6746 ELLADO SL,FV-1/2025/00012,12/11/2025,C-V/00014,"4729,89","48636,58",BIGCORP SL,Pagada,No enviado
6746-C-V/00015,13,ADG32 6746 ELLADO SL,FV-1/2025/00013,12/11/2025,C-V/00015,"3913,14","52549,72",BIGCORP SL,Pagada,No enviado
6746-C-V/00016,14,ADG32 6746 ELLADO SL,FV-1/2025/00014,19/11/2025,C-V/00016,"4123,68","56673,40",COMERCIAL CALCO SA,Pagada,No enviado
6746-C-V/00017,15,ADG32 6746 ELLADO SL,FV-1/2025/00015,19/11/2025,C-V/00017,"3737,09","60410,49",BIGCORP SL,Pagada,No enviado
6746-C-V/00018,16,ADG32 6746 ELLADO SL,FV-1/2025/00016,19/11/2025,C-V/00018,"3330,53","63741,02",BIGCORP SL,Pagada,No enviado
6746-C-V/00020,17,ADG32 6746 ELLADO SL,FV-1/2025/00017,26/11/2025,C-V/00020,"3404,94","67145,96",BIGCORP SL,Publicado,No enviado
6746-C-V/00021,18,ADG32 6746 ELLADO SL,FV-1/2025/00018,26/11/2025,C-V/00021,"4368,71","71514,67",COMERCIAL CALCO SA,Publicado,No enviado
6746-C-V/00022,19,ADG32 6746 ELLADO SL,FV-1/2025/00019,03/12/2025,C-V/00022,"3221,63","74736,30",COMERCIAL CALCO SA,Publicado,No enviado
"6746-C-V/00025, C-V/00023, C-V/00024",20,ADG32 6746 ELLADO SL,FV-1/2025/00020,03/12/2025,"C-V/00025, C-V/00023, C-V/00024","12051,60","86787,90",BIGCORP SL,Publicado,No enviado
6746-C-V/00026,21,ADG32 6746 ELLADO SL,FV-1/2025/00021,10/12/2025,C-V/00026,"4762,56","91550,46",COMERCIAL CALCO SA,Publicado,No enviado
"6746-C-V/00027, C-V/00028",22,ADG32 6746 ELLADO SL,FV-1/2025/00022,10/12/2025,"C-V/00027, C-V/00028","8726,52","100276,98",BIGCORP SL,Publicado,No enviado
"6746-C-V/00032, C-V/00031",23,ADG32 6746 ELLADO SL,FV-1/2025/00024,18/12/2025,"C-V/00032, C-V/00031","8917,10","109194,08",COMERCIAL CALCO SA,Publicado,No enviado
6746-C-V/00033,24,ADG32 6746 ELLADO SL,FV-1/2025/00023,18/12/2025,C-V/00033,"3757,05","112951,13",BIGCORP SL,Publicado,No enviado
6777-C-V/00001,1,ADG32 6777 JGARCIA SL,FV-1/2025/00001,17/10/2025,C-V/00001,"4581,06","4581,06",COMERCIAL CALCO SA,Pagada,No enviado
6777-C-V/00002,2,ADG32 6777 JGARCIA SL,FV-1/2025/00002,22/10/2025,C-V/00002,"4276,14","8857,20",COMERCIAL CALCO SA,Publicado,No enviado
6777-C-V/00003,3,ADG32 6777 JGARCIA SL,FV-1/2025/00003,22/10/2025,C-V/00003,"3738,90","12596,10",COMERCIAL CALCO SA,Publicado,No enviado
6777-C-V/00004,4,ADG32 6777 JGARCIA SL,FV-1/2025/00004,22/10/2025,C-V/00004,"3844,17","16440,27",COMERCIAL CALCO SA,Publicado,No enviado
6777-C-V/00005,5,ADG32 6777 JGARCIA SL,FV-1/2025/00005,29/10/2025,C-V/00005,"4493,94","20934,21",COMERCIAL CALCO SA,Pagada,No enviado
6777-C-V/00006,6,ADG32 6777 JGARCIA SL,FV-1/2025/00006,29/10/2025,C-V/00006,"3502,95","24437,16",BIGCORP SL,Pagada,No enviado
6777-C-V/00007,7,ADG32 6777 JGARCIA SL,FV-1/2025/00007,29/10/2025,C-V/00007,"4544,76","28981,92",BIGCORP SL,Pagada,No enviado
6777-C-V/00008,8,ADG32 6777 JGARCIA SL,FV-1/2025/00008,05/11/2025,C-V/00008,"4733,52","33715,44",BIGCORP SL,Pagada,No enviado
6777-C-V/00009,9,ADG32 6777 JGARCIA SL,FV-1/2025/00009,05/11/2025,C-V/00009,"3216,18","36931,62",BIGCORP SL,Pagada,No enviado
6777-C-V/00010,10,ADG32 6777 JGARCIA SL,FV-1/2025/00010,05/11/2025,C-V/00010,"3335,97","40267,59",COMERCIAL CALCO SA,Pagada,No enviado
6777-C-V/00011,11,ADG32 6777 JGARCIA SL,FV-1/2025/00011,12/11/2025,C-V/00011,"3473,91","43741,50",BIGCORP SL,Pagada,No enviado
6777-C-V/00012,12,ADG32 6777 JGARCIA SL,FV-1/2025/00012,12/11/2025,C-V/00012,"4697,22","48438,72",BIGCORP SL,Pagada,No enviado
6777-C-V/00013,13,ADG32 6777 JGARCIA SL,FV-1/2025/00013,12/11/2025,C-V/00013,"3826,02","52264,74",COMERCIAL CALCO SA,Pagada,No enviado
6777-C-V/00014,14,ADG32 6777 JGARCIA SL,FV-1/2025/00014,19/11/2025,C-V/00014,"4345,11","56609,85",COMERCIAL CALCO SA,Publicado,No enviado
6777-C-V/00015,15,ADG32 6777 JGARCIA SL,FV-1/2025/00015,19/11/2025,C-V/00015,"4388,67","60998,52",BIGCORP SL,Publicado,No enviado
6777-C-V/00016,16,ADG32 6777 JGARCIA SL,FV-1/2025/00016,19/11/2025,C-V/00016,"4054,71","65053,23",COMERCIAL CALCO SA,Publicado,No enviado
6777-C-V/00017,17,ADG32 6777 JGARCIA SL,FV-1/2025/00017,26/11/2025,C-V/00017,"3796,98","68850,21",BIGCORP SL,Publicado,No enviado
6777-C-V/00018,18,ADG32 6777 JGARCIA SL,FV-1/2025/00018,26/11/2025,C-V/00018,"3720,75","72570,96",COMERCIAL CALCO SA,Publicado,No enviado
6777-C-V/00019,19,ADG32 6777 JGARCIA SL,FV-1/2025/00019,26/11/2025,C-V/00019,"4795,23","77366,19",BIGCORP SL,Publicado,No enviado
6777-C-V/00020,20,ADG32 6777 JGARCIA SL,FV-1/2025/00020,03/12/2025,C-V/00020,"3586,44","80952,63",BIGCORP SL,Publicado,No enviado
6777-C-V/00021,21,ADG32 6777 JGARCIA SL,FV-1/2025/00021,03/12/2025,C-V/00021,"3212,55","84165,18",COMERCIAL CALCO SA,Publicado,No enviado
6777-C-V/00022,22,ADG32 6777 JGARCIA SL,FV-1/2025/00022,03/12/2025,C-V/00022,"4334,22","88499,40",COMERCIAL CALCO SA,Publicado,No enviado
"6777-C-V/00023, C-V/00024",23,ADG32 6777 JGARCIA SL,FV-1/2025/00024,10/12/2025,"C-V/00023, C-V/00024","7590,33","96089,73",BIGCORP SL,Publicado,No enviado
6777-C-V/00025,24,ADG32 6777 JGARCIA SL,FV-1/2025/00023,10/12/2025,C-V/00025,"3905,88","99995,61",COMERCIAL CALCO SA,Publicado,No enviado
"6777-C-V/00029, C-V/00028",25,ADG32 6777 JGARCIA SL,FV-1/2025/00026,19/12/2025,"C-V/00029, C-V/00028","6980,49","106976,10",BIGCORP SL,Publicado,No enviado
6777-C-V/00030,26,ADG32 6777 JGARCIA SL,FV-1/2025/00025,19/12/2025,C-V/00030,"3891,36","110867,46",COMERCIAL CALCO SA,Publicado,No enviado
6844-C-V/00001,1,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00001,17/10/2025,C-V/00001,"4040,19","4040,19",COMERCIAL CALCO SA,Pagada,No enviado
6844-C-V/00002,2,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00002,23/10/2025,C-V/00002,"4294,29","8334,48",BIGCORP SL,Pagada,No enviado
6844-C-V/00003,3,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00003,23/10/2025,C-V/00003,"4423,16","12757,64",COMERCIAL CALCO SA,Pagada,No enviado
6844-C-V/00004,4,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00004,23/10/2025,C-V/00004,"3649,97","16407,61",BIGCORP SL,Pagada,No enviado
6844-C-V/00005,5,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00005,29/10/2025,C-V/00005,"4326,96","20734,57",BIGCORP SL,Pagada,No enviado
6844-C-V/00006,6,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00006,29/10/2025,C-V/00006,"3924,03","24658,60",BIGCORP SL,Pagada,No enviado
6844-C-V/00007,7,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00007,29/10/2025,C-V/00007,"3564,66","28223,26",COMERCIAL CALCO SA,Pagada,No enviado
6844-C-V/00009,8,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00008,05/11/2025,C-V/00009,"4060,16","32283,42",COMERCIAL CALCO SA,Pagada,No enviado
6844-C-V/00010,9,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00009,05/11/2025,C-V/00010,"4259,81","36543,23",COMERCIAL CALCO SA,Pagada,No enviado
6844-C-V/00011,10,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00010,05/11/2025,C-V/00011,"3871,40","40414,63",BIGCORP SL,Pagada,No enviado
6844-C-V/00012,11,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00011,12/11/2025,C-V/00012,"4395,93","44810,56",COMERCIAL CALCO SA,Pagada,No enviado
6844-C-V/00013,12,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00012,12/11/2025,C-V/00013,"3403,13","48213,69",BIGCORP SL,Pagada,No enviado
6844-C-V/00014,13,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00013,12/11/2025,C-V/00014,"4421,34","52635,03",BIGCORP SL,Pagada,No enviado
6844-C-V/00015,14,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00014,19/11/2025,C-V/00015,"4232,58","56867,61",COMERCIAL CALCO SA,Pagada,No enviado
6844-C-V/00016,15,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00015,19/11/2025,C-V/00016,"4599,21","61466,82",BIGCORP SL,Pagada,No enviado
6844-C-V/00017,16,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00016,19/11/2025,C-V/00017,"4541,13","66007,95",COMERCIAL CALCO SA,Pagada,No enviado
6844-C-V/00018,17,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00017,26/11/2025,C-V/00018,"3551,96","69559,91",COMERCIAL CALCO SA,Publicado,No enviado
6844-C-V/00019,18,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00018,26/11/2025,C-V/00019,"3399,50","72959,41",BIGCORP SL,Publicado,No enviado
6844-C-V/00020,19,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00019,26/11/2025,C-V/00020,"3268,82","76228,23",BIGCORP SL,Publicado,No enviado
6844-C-V/00021,20,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00021,05/12/2025,C-V/00021,"4644,59","80872,82",BIGCORP SL,Publicado,No enviado
"6844-C-V/00022, C-V/00023",21,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00020,05/12/2025,"C-V/00022, C-V/00023","8741,04","89613,86",COMERCIAL CALCO SA,Publicado,No enviado
"6844-C-V/00024, C-V/00026",22,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00023,10/12/2025,"C-V/00024, C-V/00026","8065,86","97679,72",BIGCORP SL,Publicado,No enviado
6844-C-V/00025,23,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00022,10/12/2025,C-V/00025,"4381,41","102061,13",COMERCIAL CALCO SA,Publicado,No enviado
"6844-C-V/00029, C-V/00028",24,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00024,19/12/2025,"C-V/00029, C-V/00028","8904,39","110965,52",BIGCORP SL,Publicado,No enviado
6844-C-V/00030,25,ADG32 6844 TTRAMULLAS SL,FV-1/2025/00025,19/12/2025,C-V/00030,"4274,33","115239,85",COMERCIAL CALCO SA,Publicado,No enviado